FEATURE DIAGNOSTICS REPORT - AAPL
Generated: 2026-01-29 12:45:53.482408
Period: 2020-01-01 to 2024-12-31

                         feature  pct_at_+1  pct_at_-1  pct_saturated      mean       std       min       q25       q50       q75       max  effective_range_10_90  n_samples
7             trend_ma_structure  43.836978  17.793241      61.630219  0.286680  0.783462 -1.000000 -0.300000  0.600000  1.000000  1.000000               2.000000       1006
17                        vol_ad  47.017893   0.000000      47.017893  0.610338  0.409772  0.000000  0.500000  0.500000  1.000000  1.000000               1.000000       1006
16                       vol_obv  39.860835   0.000000      39.860835  0.528827  0.429235  0.000000  0.000000  0.500000  1.000000  1.000000               1.000000       1006
37  tier1_confirmation_size_mult  27.534791   0.000000      27.534791  0.880602  0.139285  0.600000  0.818875  0.850000  1.010576  1.175686               0.439946       1006
15                     vol_score  14.512922   0.000000      14.512922  0.549881  0.327001  0.000000  0.260000  0.540000  0.860000  1.000000               0.940000       1006
34            alpha_gap_signal_z   4.870775   6.461233      11.332008 -0.030110  0.505617 -1.000000 -0.335337 -0.013190  0.287007  1.000000               1.391267       1006
6                    trend_score  10.934394   0.000000      10.934394  0.213491  0.529598 -0.965778 -0.114396  0.126492  0.738266  1.000000               1.524270       1006
9                trend_adx_level   8.747515   0.000000       8.747515  0.624180  0.210275  0.300000  0.447051  0.606525  0.792105  1.000000               0.613357       1006
35         alpha_ret_3d_signal_z   2.485089   4.473161       6.958250 -0.018981  0.473245 -1.000000 -0.324181 -0.003180  0.313667  1.000000               1.243313       1006
33             alpha_short_ret_z   2.584493   3.677932       6.262425 -0.003233  0.478847 -1.000000 -0.297483  0.003544  0.301297  1.000000               1.301894       1006
18                     vol_spike   4.075547   0.000000       4.075547  0.434692  0.242703  0.100000  0.300000  0.300000  0.700000  1.000000               0.600000       1006
32     alpha_close_loc_reversion   0.000000   0.198807       0.198807 -0.114597  0.624159 -1.000000 -0.705943 -0.191073  0.452163  0.991687               1.716447       1006
25                     risk_beta   0.000000   0.000000       0.000000  0.500000  0.000000  0.500000  0.500000  0.500000  0.500000  0.500000               0.000000       1006
26                   alpha_score   0.000000   0.000000       0.000000  0.003525  0.109129 -0.407688 -0.051354 -0.001858  0.057690  0.408014               0.267971       1006
30     alpha_continuation_weight   0.000000   0.000000       0.000000  0.482008  0.169809  0.300000  0.300000  0.500000  0.650000  0.700000               0.400000       1006
27        alpha_reversion_signal   0.000000   0.000000       0.000000 -0.045516  0.436447 -0.924231 -0.410063 -0.065255  0.279764  0.937251               1.184569       1006
28     alpha_continuation_signal   0.000000   0.000000       0.000000  0.024935  0.420946 -0.997251 -0.284438  0.059795  0.341526  0.975034               1.118189       1006
29        alpha_reversion_weight   0.000000   0.000000       0.000000  0.517992  0.169809  0.300000  0.350000  0.500000  0.700000  0.700000               0.400000       1006
23                 risk_drawdown   0.000000   0.000000       0.000000  0.366701  0.207847  0.005433  0.264261  0.449458  0.553703  0.685174               0.599525       1006
31           alpha_rsi_reversion   0.000000   0.000000       0.000000 -0.054871  0.490234 -0.800000 -0.500000  0.000000  0.200000  0.800000               1.600000       1006
36                   tier1_score   0.000000   0.000000       0.000000  0.124872  0.337808 -0.654561 -0.096827  0.108130  0.436264  0.772824               0.950860       1006
24               risk_volatility   0.000000   0.000000       0.000000  0.464563  0.218678  0.100000  0.300000  0.600000  0.600000  0.850000               0.500000       1006
0                   next_day_ret   0.000000   0.000000       0.000000  0.001093  0.013990 -0.045603 -0.006576  0.000878  0.009440  0.069713               0.032586       1005
22                  risk_sortino   0.000000   0.000000       0.000000  0.505318  0.335800  0.008927  0.120978  0.521766  0.845484  0.993498               0.832916       1006
21                   risk_sharpe   0.000000   0.000000       0.000000  0.474346  0.310349  0.021729  0.152977  0.496246  0.774902  0.981126               0.801991       1006
20                    risk_score   0.000000   0.000000       0.000000  0.449967  0.252453  0.051239  0.205586  0.502136  0.691971  0.833545               0.677948       1006
1                  overnight_gap   0.000000   0.000000       0.000000 -0.000312  0.010041 -0.094469 -0.004680  0.000072  0.004449  0.078686               0.020275       1005
14                    rs_capture   0.000000   0.000000       0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000               0.000000       1006
13                rs_trend_bonus   0.000000   0.000000       0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000               0.000000       1006
12              rs_relative_perf   0.000000   0.000000       0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000               0.000000       1006
11                      rs_score   0.000000   0.000000       0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000               0.000000       1006
10             trend_cross_boost   0.000000   0.000000       0.000000  0.001491  0.047292 -0.300000  0.000000  0.000000  0.000000  0.300000               0.000000       1006
8          trend_price_structure   0.000000   0.000000       0.000000  0.111332  0.726370 -0.800000 -0.800000  0.000000  0.800000  0.800000               1.600000       1006
5                    mom_rsi_mod   0.000000   0.000000       0.000000 -0.003579  0.022902 -0.150000  0.000000  0.000000  0.000000  0.000000               0.000000       1006
4                mom_macd_signal   0.000000   0.000000       0.000000  0.003712  0.118561 -0.331442 -0.077482 -0.003235  0.086795  0.281622               0.311106       1006
3                    mom_1m_norm   0.000000   0.000000       0.000000  0.051503  0.280041 -0.775093 -0.120106  0.067938  0.233364  0.801555               0.730642       1006
2                      mom_score   0.000000   0.000000       0.000000  0.034159  0.189093 -0.528182 -0.091529  0.045592  0.163238  0.545648               0.498515       1006
19              vol_confirmation   0.000000   0.000000       0.000000  0.017097  0.113672 -0.200000  0.000000  0.000000  0.000000  0.200000               0.400000       1006
