FEATURE DIAGNOSTICS REPORT - TSLA
Generated: 2026-01-30 11:39:34.231333
Period: 2020-01-01 to 2025-12-31

                         feature  pct_at_+1  pct_at_-1  pct_saturated      mean           std       min       q25       q50       q75       max  effective_range_10_90  n_samples
15                        vol_ad  46.815287   0.000000      46.815287  0.613854  4.053614e-01  0.000000  0.500000  0.500000  1.000000  1.000000               1.000000       1256
5             trend_ma_structure  25.955414  19.665605      45.621019  0.108280  7.249750e-01 -1.000000 -0.600000  0.000000  1.000000  1.000000               2.000000       1256
14                       vol_obv  40.843949   0.000000      40.843949  0.547373  4.224113e-01  0.000000  0.000000  0.500000  1.000000  1.000000               1.000000       1256
13                     vol_score  23.487261   0.000000      23.487261  0.582341  3.443725e-01  0.000000  0.260000  0.620000  0.940000  1.000000               0.940000       1256
4                    trend_score   7.324841   7.404459      14.729299  0.038140  5.396341e-01 -1.000000 -0.201434  0.049747  0.323070  1.000000               1.644392       1256
7                trend_adx_level  14.570064   0.000000      14.570064  0.628985  2.285865e-01  0.300000  0.435485  0.581356  0.813678  1.000000               0.645642       1256
32            alpha_gap_signal_z   4.697452   6.369427      11.066879 -0.028589  5.137323e-01 -1.000000 -0.365608 -0.007601  0.304654  1.000000               1.422974       1256
31             alpha_short_ret_z   4.617834   4.219745       8.837580 -0.006573  5.086964e-01 -1.000000 -0.335820 -0.004825  0.315034  1.000000               1.394339       1256
33         alpha_ret_3d_signal_z   4.299363   3.901274       8.200637  0.004455  4.949031e-01 -1.000000 -0.323832 -0.007183  0.326849  1.000000               1.352142       1256
36  tier1_confirmation_size_mult   6.528662   0.000000       6.528662  0.751147  1.419703e-01  0.600000  0.600000  0.778430  0.850000  1.096578               0.335318       1256
16                     vol_spike   3.503185   0.000000       3.503185  0.451433  2.523474e-01  0.100000  0.300000  0.300000  0.700000  1.000000               0.600000       1256
1                    mom_1m_norm   0.398089   0.000000       0.398089  0.050916  3.197049e-01 -0.783009 -0.148274  0.048834  0.214757  1.000000               0.771397       1256
30     alpha_close_loc_reversion   0.079618   0.079618       0.159236 -0.052804  6.217824e-01 -1.000000 -0.624560 -0.100219  0.521768  0.999302               1.690021       1256
26     alpha_continuation_signal   0.079618   0.000000       0.079618  0.010143  4.373388e-01 -0.996923 -0.310312  0.033646  0.331047  0.999535               1.156559       1256
25        alpha_reversion_signal   0.000000   0.000000       0.000000 -0.015332  4.475342e-01 -0.939535 -0.371924 -0.029770  0.320668  0.936923               1.209372       1256
27        alpha_reversion_weight   0.000000   0.000000       0.000000  0.532086  1.614228e-01  0.300000  0.350000  0.500000  0.700000  0.700000               0.400000       1256
29           alpha_rsi_reversion   0.000000   0.000000       0.000000 -0.018073  4.868303e-01 -0.800000 -0.500000  0.000000  0.200000  0.800000               1.600000       1256
28     alpha_continuation_weight   0.000000   0.000000       0.000000  0.467914  1.614228e-01  0.300000  0.300000  0.500000  0.650000  0.700000               0.400000       1256
23                     risk_beta   0.000000   0.000000       0.000000  0.500000  0.000000e+00  0.500000  0.500000  0.500000  0.500000  0.500000               0.000000       1256
34                   tier1_score   0.000000   0.000000       0.000000  0.031941  3.497038e-01 -0.735408 -0.138373  0.045526  0.210528  0.833056               1.025104       1256
35                 tier1_quality   0.000000   0.000000       0.000000  0.380919  1.494911e-01  0.052358  0.271714  0.381310  0.484854  0.746002               0.395474       1256
24                   alpha_score   0.000000   0.000000       0.000000  0.000548  1.147711e-01 -0.413417 -0.049133 -0.002455  0.049442  0.417214               0.271172       1256
0                      mom_score   0.000000   0.000000       0.000000  0.036111  2.143470e-01 -0.621061 -0.099587  0.031181  0.147766  0.711307               0.498647       1256
22               risk_volatility   0.000000   0.000000       0.000000  0.100000  2.776663e-17  0.100000  0.100000  0.100000  0.100000  0.100000               0.000000       1256
21                 risk_drawdown   0.000000   0.000000       0.000000  0.059791  5.979738e-02  0.002067  0.003270  0.040031  0.081153  0.240505               0.149793       1256
20                  risk_sortino   0.000000   0.000000       0.000000  0.359385  3.041315e-01  0.012021  0.091318  0.248851  0.635036  0.996729               0.803637       1256
19                   risk_sharpe   0.000000   0.000000       0.000000  0.342245  2.780859e-01  0.002923  0.091896  0.279907  0.573257  0.982153               0.734339       1256
17              vol_confirmation   0.000000   0.000000       0.000000  0.044984  1.296283e-01 -0.200000  0.000000  0.000000  0.200000  0.200000               0.400000       1256
12                    rs_capture   0.000000   0.000000       0.000000  0.000000  0.000000e+00  0.000000  0.000000  0.000000  0.000000  0.000000               0.000000       1256
11                rs_trend_bonus   0.000000   0.000000       0.000000  0.000000  0.000000e+00  0.000000  0.000000  0.000000  0.000000  0.000000               0.000000       1256
10              rs_relative_perf   0.000000   0.000000       0.000000  0.000000  0.000000e+00  0.000000  0.000000  0.000000  0.000000  0.000000               0.000000       1256
9                       rs_score   0.000000   0.000000       0.000000  0.000000  0.000000e+00  0.000000  0.000000  0.000000  0.000000  0.000000               0.000000       1256
8              trend_cross_boost   0.000000   0.000000       0.000000  0.001194  5.679493e-02 -0.300000  0.000000  0.000000  0.000000  0.300000               0.000000       1256
6          trend_price_structure   0.000000   0.000000       0.000000  0.063694  7.004293e-01 -0.800000 -0.800000  0.000000  0.800000  0.800000               1.600000       1256
3                    mom_rsi_mod   0.000000   0.000000       0.000000 -0.000955  2.072113e-02 -0.150000  0.000000  0.000000  0.000000  0.150000               0.000000       1256
2                mom_macd_signal   0.000000   0.000000       0.000000  0.014660  1.423101e-01 -0.573959 -0.086479  0.016172  0.104278  0.365156               0.369233       1256
18                    risk_score   0.000000   0.000000       0.000000  0.231325  1.672437e-01  0.030177  0.085180  0.186404  0.371444  0.602226               0.439743       1256
